Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
BRNA,Berlina Tbk.,1989-11-06,979110000,Pengembangan,Basic Materials,975,954632250000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
BRPT,Barito Pacific Tbk.,1993-10-01,93747218044,Utama,Basic Materials,870,81560079698280,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
BSDE,Bumi Serpong Damai Tbk.,2008-06-06,21171365812,Utama,Properties & Real Estate,945,20006940692340,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2008-06-06,2022-04-16
BSIM,Bank Sinarmas Tbk.,2010-12-13,19517921842,Utama,Financials,630,12296290760460,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2010-12-13,2022-04-16
BSML,Bintang Samudera Mandiri Lines,2021-12-16,1850225000,Pengembangan,Energy,1350,2497803750000,2021-12-16 09:00:00,2022-04-15 15:59:00,2021-12-16 09:00:00,2022-04-15 16:00:00,2021-12-16,2022-04-16
BSSR,Baramulti Suksessarana Tbk.,2012-11-08,2616500000,Pengembangan,Energy,4410,11538765000000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2012-11-08,2022-04-16
BSWD,Bank Of India Indonesia Tbk.,2002-05-01,1374912000,Pengembangan,Financials,1750,2406096000000,,,,,2002-05-01,2022-04-16
BTEK,Bumi Teknokultura Unggul Tbk,2004-05-14,46277496376,Pengembangan,Consumer Non-Cyclicals,50,2313874818800,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2004-05-14,2022-04-16
BTEL,Bakrie Telecom Tbk.,2006-02-03,36822665755,Utama,Infrastructures,50,1841133287750,,,,,2006-02-03,2022-04-16
BTON,Betonjaya Manunggal Tbk.,2001-07-18,720000000,Pengembangan,Basic Materials,346,249120000000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-07-18,2022-04-16
BTPN,Bank BTPN Tbk.,2008-03-12,8066054461,Utama,Financials,2560,20649099420160,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2008-03-12,2022-04-16
BTPS,Bank BTPN Syariah Tbk.,2018-05-08,7626663000,Utama,Financials,3180,24252788340000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2018-05-08,2022-04-16
BUDI,Budi Starch & Sweetener Tbk.,1995-05-08,4498997362,Utama,Consumer Non-Cyclicals,226,1016773403812,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
BUKA,Bukalapak.com Tbk.,2021-08-06,103062019354,Pengembangan,Technology,346,35659458696484,2021-11-01 09:00:00,2022-04-15 15:59:00,2021-08-06 09:00:00,2022-04-15 16:00:00,2021-08-06,2022-04-16
