date, pm25, pm10
2022/11/12, 70, 
2022/11/13, 89, 
2022/11/14, 88, 
2022/11/15, 82, 
2022/11/16, 76, 
2022/11/17, 85, 
2022/11/18, 70, 
2022/11/19, 84, 
2022/11/20, 64, 
2022/11/21, 70, 
2022/11/22, 70, 
2022/11/23, 79, 
2022/11/24, 75, 
2022/11/25, 107, 
2022/11/26, 117, 
2022/11/27, 130, 
2022/11/28, 118, 
2022/11/29, 108, 
2022/11/30, 94, 
2022/12/1, 102, 
2022/12/2, 104, 
2022/12/3, 97, 
2022/12/4, 121, 
2022/12/5, 129, 
2022/12/6, 116, 
2022/12/7, 132, 
2022/12/8, 111, 
2022/12/9, 56, 
2022/12/10, 80, 
2022/12/11, 64, 
2022/12/12, 42, 12
2022/12/13, 40, 
2022/12/14, 41, 
2022/12/15, 58, 
2022/12/16, 79, 
2022/12/17, 122, 
2022/12/18, 126, 
2022/12/19, 128, 
2022/12/20, 96, 
2022/12/21, 93, 
2022/12/22, 56, 
2022/12/23, 53, 
2022/12/24, 103, 
2022/12/25, 59, 
2022/12/26, 79, 
2022/12/27, 47, 
2022/12/28, 57, 
2022/12/29, 54, 
2022/12/30, 75, 
2022/12/31, 75, 
2023/1/1, 57, 
2022/7/1, 142, 
2022/7/2, 160, 
2022/7/3, 125, 
2022/7/4, 77, 
2022/7/5, 106, 
2022/7/6, 89, 
2022/7/7, 113, 
2022/7/8, 108, 
2022/7/9, 98, 
2022/7/10, 110, 
2022/7/11, 140, 
2022/7/12, 135, 
2022/7/13, 127, 
2022/7/14, 108, 44
2022/7/15, 88, 
2022/7/16, 69, 
2022/7/17, 98, 
2022/7/18, 147, 
2022/7/19, 132, 
2022/7/20, 144, 58
2022/7/21, 137, 56
2022/7/22, 131, 49
2022/7/23, 90, 
2022/7/24, 106, 41
2022/7/25, 97, 52
2022/7/26, 112, 62
2022/7/27, 141, 71
2022/7/28, 139, 38
2022/7/29, 103, 
2022/7/30, 112, 
2022/7/31, 139, 
2022/8/1, 87, 
2022/8/2, 148, 
2022/8/3, 138, 
2022/8/4, 89, 
2022/8/5, 71, 
2022/8/6, 105, 
2022/8/7, 130, 
2022/8/8, 95, 
2022/8/9, 89, 
2022/8/10, 120, 
2022/8/11, 120, 
2022/8/12, 103, 
2022/8/13, 102, 
2022/8/14, 105, 
2022/8/15, 97, 
2022/8/16, 114, 
2022/8/17, 103, 
2022/8/18, 97, 
2022/8/19, 98, 
2022/8/20, 119, 
2022/8/21, 119, 
